Postazione;Codice Dispaccio;Numero Documenti;Data Registrazione;
coop\felipe.salazar;823334244170;166;26/02/2026 09:10:27;
coop\felipe.salazar;823394356435;44;26/02/2026 08:17:37;
coop\felipe.salazar;823560085393;109;26/02/2026 08:32:06;
coop\felipe.salazar;823560085985;199;26/02/2026 08:17:48;
coop\felipe.salazar;823573140252;424;26/02/2026 09:20:07;
coop\felipe.salazar;823586439956;443;26/02/2026 09:26:09;
coop\felipe.salazar;823622247744;28;26/02/2026 09:15:14;
coop\felipe.salazar;823622247813;50;26/02/2026 09:15:09;
coop\felipe.salazar;823622247869;112;26/02/2026 09:15:18;
coop\felipe.salazar;823641417215;351;26/02/2026 09:28:38;
coop\felipe.salazar;823641842871;800;26/02/2026 09:53:31;
coop\felipe.salazar;823641924585;506;26/02/2026 09:09:19;
coop\felipe.salazar;823654367372;240;26/02/2026 09:11:59;
coop\felipe.salazar;823654367383;201;26/02/2026 09:12:22;
coop\felipe.salazar;823658297936;171;26/02/2026 09:19:45;
coop\felipe.salazar;823658314970;692;26/02/2026 09:55:39;
coop\felipe.salazar;823716673490;290;26/02/2026 09:09:49;
coop\felipe.salazar;823726418559;501;26/02/2026 08:33:37;
coop\felipe.salazar;823792742973;47;26/02/2026 08:17:53;
coop\francesco.pillitteri;823311541626;438;26/02/2026 09:18:48;
coop\francesco.pillitteri;823342881794;198;26/02/2026 09:10:52;
coop\francesco.pillitteri;823511147679;101;26/02/2026 09:55:25;
coop\francesco.pillitteri;823515304838;201;26/02/2026 09:13:16;
coop\francesco.pillitteri;823515304849;201;26/02/2026 09:13:09;
coop\francesco.pillitteri;823515304850;135;26/02/2026 09:27:57;
coop\francesco.pillitteri;823515304861;192;26/02/2026 09:28:34;
coop\francesco.pillitteri;823515304872;176;26/02/2026 09:28:36;
coop\francesco.pillitteri;823515304883;201;26/02/2026 09:13:14;
coop\francesco.pillitteri;823515304894;201;26/02/2026 09:27:51;
coop\francesco.pillitteri;823540142548;61;26/02/2026 09:34:28;
coop\francesco.pillitteri;823543964962;312;26/02/2026 09:25:47;
coop\francesco.pillitteri;823550824591;500;26/02/2026 09:19:00;
coop\francesco.pillitteri;823563170586;2;26/02/2026 09:12:18;
coop\francesco.pillitteri;823565987157;417;26/02/2026 09:55:14;
coop\francesco.pillitteri;823566599159;417;26/02/2026 09:25:28;
coop\francesco.pillitteri;823566599161;795;26/02/2026 09:19:04;
coop\francesco.pillitteri;823569980730;37;26/02/2026 09:31:41;
coop\francesco.pillitteri;823572557549;104;26/02/2026 09:55:08;
coop\francesco.pillitteri;823572557550;101;26/02/2026 09:31:44;
coop\francesco.pillitteri;823572557561;114;26/02/2026 09:31:48;
coop\francesco.pillitteri;823634635682;25;26/02/2026 09:55:23;
coop\francesco.pillitteri;823644417085;617;26/02/2026 09:09:48;
coop\francesco.pillitteri;823644417132;614;26/02/2026 09:26:29;
coop\francesco.pillitteri;823644417143;247;26/02/2026 08:13:23;
coop\francesco.pillitteri;823651219091;404;26/02/2026 09:37:26;
coop\francesco.pillitteri;823651220548;500;26/02/2026 09:31:15;
coop\francesco.pillitteri;823651220618;506;26/02/2026 09:32:58;
coop\francesco.pillitteri;823655600126;19;26/02/2026 09:37:00;
coop\francesco.pillitteri;823655872924;115;26/02/2026 09:36:57;
coop\francesco.pillitteri;823658867148;712;26/02/2026 09:12:52;
coop\francesco.pillitteri;823659725606;664;26/02/2026 09:31:51;
coop\francesco.pillitteri;823659931376;282;26/02/2026 08:17:45;
coop\francesco.pillitteri;823659931387;260;26/02/2026 08:13:45;
coop\francesco.pillitteri;823663648235;703;26/02/2026 09:16:48;
coop\francesco.pillitteri;823789498799;78;26/02/2026 09:25:02;
coop\francesco.pillitteri;823790264729;238;26/02/2026 09:54:26;
coop\francesco.pillitteri;823790710650;160;26/02/2026 09:24:57;
coop\francesco.pillitteri;823790908762;176;26/02/2026 09:36:55;
coop\francesco.pillitteri;823791225288;243;26/02/2026 09:38:48;
coop\francesco.pillitteri;823791225382;291;26/02/2026 09:24:33;
coop\michela.onea;647550551439;7;26/02/2026 09:12:44;
coop\michela.onea;823394356479;118;26/02/2026 09:34:21;
coop\michela.onea;823622247870;30;26/02/2026 09:15:48;
coop\michela.onea;823646597261;140;26/02/2026 08:38:41;
coop\michela.onea;823646597295;174;26/02/2026 08:40:41;
coop\michela.onea;823646597864;100;26/02/2026 08:41:08;
coop\michela.onea;823646597922;100;26/02/2026 08:42:30;
coop\michela.onea;823657546763;323;26/02/2026 08:17:02;
coop\michela.onea;823665505873;100;26/02/2026 08:44:04;
coop\miguel.brognara;823294773369;920;26/02/2026 08:13:37;
coop\miguel.brognara;823318112006;636;26/02/2026 09:13:37;
coop\miguel.brognara;823333015749;345;26/02/2026 09:30:06;
coop\miguel.brognara;823338763190;48;26/02/2026 08:13:12;
coop\miguel.brognara;823452252477;197;26/02/2026 09:02:10;
coop\miguel.brognara;823452252499;202;26/02/2026 09:00:27;
coop\miguel.brognara;823462184817;678;26/02/2026 09:21:35;
coop\miguel.brognara;823462184828;291;26/02/2026 09:31:07;
coop\miguel.brognara;823511296966;449;26/02/2026 08:57:59;
coop\miguel.brognara;823511296977;441;26/02/2026 08:57:44;
coop\miguel.brognara;823515304358;194;26/02/2026 08:57:47;
coop\miguel.brognara;823515304371;194;26/02/2026 08:57:57;
coop\miguel.brognara;823516035561;130;26/02/2026 08:59:17;
coop\miguel.brognara;823516035696;172;26/02/2026 08:34:26;
coop\miguel.brognara;823516035891;200;26/02/2026 08:34:33;
coop\miguel.brognara;823516036232;124;26/02/2026 08:12:44;
coop\miguel.brognara;823544443155;147;26/02/2026 08:50:16;
coop\miguel.brognara;823547056265;34;26/02/2026 08:18:15;
coop\miguel.brognara;823553286369;209;26/02/2026 08:32:31;
coop\miguel.brognara;823561620952;190;26/02/2026 08:28:25;
coop\miguel.brognara;823563541062;142;26/02/2026 08:55:09;
coop\miguel.brognara;823564008832;600;26/02/2026 08:28:50;
coop\miguel.brognara;823564008843;266;26/02/2026 08:48:38;
coop\miguel.brognara;823564008854;400;26/02/2026 08:28:34;
coop\miguel.brognara;823566738658;200;26/02/2026 09:56:08;
coop\miguel.brognara;823573139852;430;26/02/2026 08:33:02;
coop\miguel.brognara;823573412682;180;26/02/2026 09:03:51;
coop\miguel.brognara;823574221001;449;26/02/2026 08:29:01;
coop\miguel.brognara;823582385884;1181;26/02/2026 09:25:14;
coop\miguel.brognara;823641928897;275;26/02/2026 09:29:02;
coop\miguel.brognara;823642568869;623;26/02/2026 08:17:29;
coop\miguel.brognara;823642951716;400;26/02/2026 09:33:30;
coop\miguel.brognara;823644221000;150;26/02/2026 08:59:21;
coop\miguel.brognara;823646631844;179;26/02/2026 08:28:53;
coop\miguel.brognara;823658196432;247;26/02/2026 09:18:36;
coop\miguel.brognara;823658196945;294;26/02/2026 08:32:23;
coop\miguel.brognara;823665453724;157;26/02/2026 09:00:11;
coop\miguel.brognara;823668941630;424;26/02/2026 08:28:20;
coop\miguel.brognara;823706624830;364;26/02/2026 09:02:31;
coop\miguel.brognara;823719850719;200;26/02/2026 08:49:03;
coop\miguel.brognara;823789403133;63;26/02/2026 08:55:54;
coop\miguel.brognara;823789531845;400;26/02/2026 08:54:39;
coop\miguel.brognara;823791500784;116;26/02/2026 09:21:29;
engine;100000251132;30;26/02/2026 08:45:31;
engine;100000251244;8;26/02/2026 14:42:03;
engine;100000251290;20;26/02/2026 09:06:18;
engine;100000251319;44;26/02/2026 14:42:02;
engine;100000251353;38;26/02/2026 14:42:00;
engine;100000251358;40;26/02/2026 14:42:01;
engine;100000251374;30;26/02/2026 08:45:25;
engine;100000251383;150;26/02/2026 14:41:58;
engine;100000251395;150;26/02/2026 14:41:59;
engine;100000251409;150;26/02/2026 14:42:04;
engine;100000251422;150;26/02/2026 14:41:45;
engine;100000251513;91;26/02/2026 14:42:00;
engine;100000251553;68;26/02/2026 14:41:57;
engine;100000251584;28;26/02/2026 14:41:47;
engine;100000251631;14;26/02/2026 14:41:46;
engine;100000251650;150;26/02/2026 14:41:48;
engine;100000251668;150;26/02/2026 14:41:51;
engine;100000251695;6;26/02/2026 14:41:48;
engine;100000251709;18;26/02/2026 14:41:51;
engine;100000251715;42;26/02/2026 14:41:50;
engine;100000251734;32;26/02/2026 14:41:52;
engine;100000251754;32;26/02/2026 14:41:57;
engine;100000251760;58;26/02/2026 14:41:55;
engine;100000251798;16;26/02/2026 14:41:49;
engine;100000251840;150;26/02/2026 14:41:50;
engine;100000251901;150;26/02/2026 08:39:53;
engine;100000252010;51;26/02/2026 11:14:54;
engine;100000252029;55;26/02/2026 11:14:56;
engine;100000252043;12;26/02/2026 11:15:10;
engine;100000252062;12;26/02/2026 11:14:54;
engine;100000252094;30;26/02/2026 11:14:51;
engine;100000252101;37;26/02/2026 11:14:55;
engine;100000252109;34;26/02/2026 11:14:56;
engine;100000252114;149;26/02/2026 08:45:09;
engine;100000252120;28;26/02/2026 11:14:54;
engine;100000252126;52;26/02/2026 11:14:53;
engine;100000252134;30;26/02/2026 11:14:51;
engine;100000252140;41;26/02/2026 11:14:52;
engine;100000252149;81;26/02/2026 11:14:53;
engine;100000252165;88;26/02/2026 11:14:52;
engine;100000252182;74;26/02/2026 11:14:51;
engine;100000252193;50;26/02/2026 11:14:51;
engine;100000252203;60;26/02/2026 11:14:54;
engine;100000252213;42;26/02/2026 11:14:57;
engine;100000252220;38;26/02/2026 11:14:53;
engine;100000252229;40;26/02/2026 11:14:52;
engine;100000252247;16;26/02/2026 11:14:57;
engine;100000252433;108;26/02/2026 11:14:52;
engine;100000252452;150;26/02/2026 11:14:57;
engine;100000252474;116;26/02/2026 11:14:52;
engine;100000252488;122;26/02/2026 11:14:55;
engine;100000252503;60;26/02/2026 11:15:08;
engine;100000252522;2;26/02/2026 11:15:07;
engine;100000252526;2;26/02/2026 11:14:53;
engine;100000252564;2;26/02/2026 11:15:11;
engine;100000252624;2;26/02/2026 11:15:11;
engine;100000252641;150;26/02/2026 12:55:05;
engine;100000252675;150;26/02/2026 11:14:59;
engine;100000252790;146;26/02/2026 12:55:04;
engine;100000252891;56;26/02/2026 12:55:05;
engine;100000252927;58;26/02/2026 11:14:58;
engine;100000252936;86;26/02/2026 11:15:06;
engine;100000252950;107;26/02/2026 11:15:07;
engine;100000252964;137;26/02/2026 11:15:06;
engine;100000252985;146;26/02/2026 11:15:06;
engine;100000253091;150;26/02/2026 11:15:04;
engine;100000253123;150;26/02/2026 13:42:46;
engine;100000253481;150;26/02/2026 11:15:10;
engine;100000253513;104;26/02/2026 11:15:03;
engine;100000253525;148;26/02/2026 11:15:03;
engine;100000253543;150;26/02/2026 11:15:03;
engine;100000253556;28;26/02/2026 11:15:02;
engine;100000253915;150;26/02/2026 13:42:37;
