Postazione;Codice Dispaccio;Numero Documenti;Data Registrazione;
coop\badreddine.kedar;822574902698;79;26/02/2026 08:49:30;
coop\badreddine.kedar;823267423528;103;26/02/2026 09:55:27;
coop\badreddine.kedar;823283214562;300;26/02/2026 09:18:20;
coop\badreddine.kedar;823342881476;308;26/02/2026 08:14:11;
coop\badreddine.kedar;823449227151;474;26/02/2026 09:31:05;
coop\badreddine.kedar;823449227162;381;26/02/2026 09:53:26;
coop\badreddine.kedar;823475223458;120;26/02/2026 08:13:32;
coop\badreddine.kedar;823475223469;120;26/02/2026 08:13:18;
coop\badreddine.kedar;823531009560;2000;26/02/2026 08:27:59;
coop\badreddine.kedar;823531009616;302;26/02/2026 08:57:08;
coop\badreddine.kedar;823531009627;302;26/02/2026 08:50:31;
coop\badreddine.kedar;823562962333;600;26/02/2026 09:11:45;
coop\badreddine.kedar;823562962345;554;26/02/2026 09:29:11;
coop\badreddine.kedar;823566992087;110;26/02/2026 09:55:35;
coop\badreddine.kedar;823568589959;300;26/02/2026 08:29:58;
coop\badreddine.kedar;823568589960;300;26/02/2026 08:34:13;
coop\badreddine.kedar;823568589972;396;26/02/2026 08:56:50;
coop\badreddine.kedar;823568589983;300;26/02/2026 08:34:17;
coop\badreddine.kedar;823571011865;500;26/02/2026 08:30:31;
coop\badreddine.kedar;823571011887;500;26/02/2026 08:50:54;
coop\badreddine.kedar;823576876236;766;26/02/2026 08:34:53;
coop\badreddine.kedar;823593147502;500;26/02/2026 08:47:11;
coop\badreddine.kedar;823631756284;208;26/02/2026 08:28:44;
coop\badreddine.kedar;823642568858;1015;26/02/2026 08:14:15;
coop\badreddine.kedar;823645325510;220;26/02/2026 08:57:39;
coop\badreddine.kedar;823645325986;32;26/02/2026 08:50:58;
coop\badreddine.kedar;823646147516;297;26/02/2026 08:58:45;
coop\badreddine.kedar;823646809791;164;26/02/2026 08:29:08;
coop\badreddine.kedar;823652314988;313;26/02/2026 08:16:44;
coop\badreddine.kedar;823661835613;106;26/02/2026 08:42:08;
coop\badreddine.kedar;823664830227;304;26/02/2026 08:56:27;
coop\felipe.salazar;819850158015;110;26/02/2026 09:15:30;
coop\felipe.salazar;823283178581;271;26/02/2026 09:11:50;
