Postazione;Codice Faldone;Codice Scatola;Numero Documenti;Data Registrazione;
coop\elisa.scappini;X610289912;S611446284;80;26/02/2026 19:34:42;
coop\elisa.scappini;X610289913;S611446284;80;26/02/2026 19:34:42;
coop\elisa.scappini;X610289914;S611446284;107;26/02/2026 19:34:42;
coop\elisa.scappini;X610289915;S611446284;91;26/02/2026 19:34:42;
coop\elisa.scappini;X610289916;S611446284;240;26/02/2026 19:34:42;
coop\elisa.scappini;X610289917;S611446328;240;26/02/2026 19:38:43;
coop\elisa.scappini;X610289918;S611446328;240;26/02/2026 19:38:43;
coop\elisa.scappini;X610289919;S611446328;240;26/02/2026 19:38:43;
coop\elisa.scappini;X610289920;S611446328;218;26/02/2026 19:38:43;
coop\elisa.scappini;X610289921;S611446328;350;26/02/2026 19:38:43;
coop\elisa.scappini;X610289922;S611446348;800;26/02/2026 20:04:46;
coop\elisa.scappini;X610289993;S611446348;800;26/02/2026 20:04:46;
coop\elisa.scappini;X610289995;S611446348;800;26/02/2026 20:04:46;
coop\elisa.scappini;X610289996;S611446348;800;26/02/2026 20:04:46;
coop\elisa.scappini;X610289997;S611446348;800;26/02/2026 20:04:46;
coop\elisa.scappini;X620289305;S621435604;84;26/02/2026 14:59:44;
coop\elisa.scappini;X620289538;S621435604;80;26/02/2026 14:59:44;
coop\elisa.scappini;X620289566;S621435604;80;26/02/2026 14:59:44;
coop\elisa.scappini;X620289567;S621435604;76;26/02/2026 14:59:44;
coop\elisa.scappini;X620289568;S621435604;80;26/02/2026 14:59:44;
coop\elisa.scappini;X620289569;S621445314;80;26/02/2026 14:43:50;
coop\elisa.scappini;X620289570;S621445314;80;26/02/2026 14:43:50;
coop\elisa.scappini;X620289571;S621445314;80;26/02/2026 14:43:50;
coop\elisa.scappini;X620289572;S621445314;77;26/02/2026 14:43:50;
coop\elisa.scappini;X620289573;S621445314;80;26/02/2026 14:43:50;
coop\elisa.scappini;X620289574;S621445341;80;26/02/2026 14:44:55;
coop\elisa.scappini;X620289575;S621445341;80;26/02/2026 14:44:55;
coop\elisa.scappini;X620289576;S621445341;80;26/02/2026 14:44:55;
coop\elisa.scappini;X620289577;S621445341;78;26/02/2026 14:44:55;
coop\elisa.scappini;X620289578;S621445341;80;26/02/2026 14:44:55;
coop\elisa.scappini;X620289579;S621445342;80;26/02/2026 14:50:53;
coop\elisa.scappini;X620289580;S621445342;80;26/02/2026 14:50:53;
coop\elisa.scappini;X620289581;S621445342;80;26/02/2026 14:50:53;
coop\elisa.scappini;X620289582;S621445342;80;26/02/2026 14:50:53;
coop\elisa.scappini;X620289583;S621445342;75;26/02/2026 14:50:53;
coop\elisa.scappini;X620289584;S621445380;89;26/02/2026 14:52:45;
coop\elisa.scappini;X620289585;S621445380;80;26/02/2026 14:52:45;
coop\elisa.scappini;X620289586;S621445380;76;26/02/2026 14:52:45;
coop\elisa.scappini;X620289587;S621445380;80;26/02/2026 14:52:45;
coop\elisa.scappini;X620289588;S621445380;80;26/02/2026 14:52:45;
coop\elisa.scappini;X620289599;S621445448;80;26/02/2026 15:00:21;
coop\elisa.scappini;X620289600;S621445448;80;26/02/2026 15:00:21;
coop\elisa.scappini;X620289601;S621445448;79;26/02/2026 15:00:21;
coop\elisa.scappini;X620289602;S621445448;80;26/02/2026 15:00:21;
coop\elisa.scappini;X620289603;S621445448;80;26/02/2026 15:00:21;
coop\elisa.scappini;X620289604;S621445501;80;26/02/2026 15:01:06;
coop\elisa.scappini;X620289605;S621445501;80;26/02/2026 15:01:06;
coop\elisa.scappini;X620289606;S621445501;80;26/02/2026 15:01:06;
coop\elisa.scappini;X620289607;S621445501;80;26/02/2026 15:01:06;
coop\elisa.scappini;X620289608;S621445501;80;26/02/2026 15:01:06;
coop\elisa.scappini;X620289609;S621445502;80;26/02/2026 15:28:08;
coop\elisa.scappini;X620289610;S621445502;80;26/02/2026 15:28:08;
coop\elisa.scappini;X620289611;S621445502;80;26/02/2026 15:28:08;
coop\elisa.scappini;X620289612;S621445502;80;26/02/2026 15:28:08;
coop\elisa.scappini;X620289613;S621445502;80;26/02/2026 15:28:08;
coop\elisa.scappini;X620289614;S621445528;80;26/02/2026 15:29:02;
coop\elisa.scappini;X620289615;S621445528;80;26/02/2026 15:29:02;
coop\elisa.scappini;X620289616;S621445528;80;26/02/2026 15:29:02;
coop\elisa.scappini;X620289617;S621445528;76;26/02/2026 15:29:02;
coop\elisa.scappini;X620289618;S621445528;80;26/02/2026 15:29:02;
coop\elisa.scappini;X620289619;S621445530;80;26/02/2026 15:32:49;
coop\elisa.scappini;X620289620;S621445530;78;26/02/2026 15:32:49;
coop\elisa.scappini;X620289621;S621445530;80;26/02/2026 15:32:49;
coop\elisa.scappini;X620289622;S621445530;80;26/02/2026 15:32:49;
coop\elisa.scappini;X620289623;S621445530;80;26/02/2026 15:32:49;
coop\elisa.scappini;X620288617;S621445531;80;26/02/2026 15:30:51;
coop\elisa.scappini;X620289624;S621445531;80;26/02/2026 15:30:51;
coop\elisa.scappini;X620289625;S621445531;80;26/02/2026 15:30:51;
coop\elisa.scappini;X620289626;S621445531;80;26/02/2026 15:30:51;
coop\elisa.scappini;X620289628;S621445531;71;26/02/2026 15:30:51;
coop\elisa.scappini;X620289629;S621445568;80;26/02/2026 15:34:48;
coop\elisa.scappini;X620289632;S621445568;80;26/02/2026 15:34:48;
coop\elisa.scappini;X620289633;S621445568;80;26/02/2026 15:34:48;
coop\elisa.scappini;X620289636;S621445568;80;26/02/2026 15:34:48;
coop\elisa.scappini;X620289638;S621445568;80;26/02/2026 15:34:48;
coop\elisa.scappini;X620289639;S621445602;80;26/02/2026 15:35:11;
coop\elisa.scappini;X620289644;S621445602;80;26/02/2026 15:35:11;
coop\elisa.scappini;X620289645;S621445602;80;26/02/2026 15:35:11;
coop\elisa.scappini;X620289646;S621445602;80;26/02/2026 15:35:11;
coop\elisa.scappini;X620289647;S621445602;76;26/02/2026 15:35:11;
coop\elisa.scappini;X620289648;S621445604;80;26/02/2026 16:03:38;
coop\elisa.scappini;X620289650;S621445604;80;26/02/2026 16:03:38;
coop\elisa.scappini;X620289652;S621445604;80;26/02/2026 16:03:38;
coop\elisa.scappini;X620289653;S621445604;92;26/02/2026 16:03:38;
coop\elisa.scappini;X620289655;S621445604;64;26/02/2026 16:03:38;
coop\elisa.scappini;X620289815;S621446015;80;26/02/2026 17:58:58;
coop\elisa.scappini;X620289816;S621446015;80;26/02/2026 17:58:58;
coop\elisa.scappini;X620289817;S621446015;103;26/02/2026 17:58:58;
coop\elisa.scappini;X620289818;S621446015;80;26/02/2026 17:58:58;
coop\elisa.scappini;X620289820;S621446015;80;26/02/2026 17:58:58;
coop\elisa.scappini;X620289853;S621446077;800;26/02/2026 18:46:26;
coop\elisa.scappini;X620289854;S621446077;800;26/02/2026 18:46:26;
coop\elisa.scappini;X620289855;S621446077;800;26/02/2026 18:46:26;
coop\elisa.scappini;X620289856;S621446077;696;26/02/2026 18:46:26;
coop\elisa.scappini;X620289857;S621446077;600;26/02/2026 18:46:26;
coop\elisa.scappini;X620289888;S621446223;80;26/02/2026 19:30:55;
coop\elisa.scappini;X620289889;S621446223;77;26/02/2026 19:30:55;
coop\elisa.scappini;X620289890;S621446223;80;26/02/2026 19:30:55;
